ID,order_ID,station_ID,material_ID,serialNo,batchNo,installedSpec,installedAt
afaf5ea6-5ccf-4753-b6eb-aa3daaae774b,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-413921,,10 bar,2026-06-02T07:42:00Z
1c13f223-b258-403b-97f0-d74f15f8a819,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-795613,,,2026-06-02T07:43:00Z
c477caa1-9e88-4c41-bc28-db26b4628c27,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T07:45:00Z
7ff9bf78-14b8-4e69-901e-8b910bae640f,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T07:46:00Z
2d1ca026-5f31-4b4c-8071-7c088f67ae31,0b845d1e-c265-4e24-9f5f-6e7bdc8d536d,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,4c021d7e-b87e-4aa1-95ed-fce5653ded5a,AN-208618,,EU,2026-06-02T07:47:00Z
a2386054-b0f8-413a-97c8-1666ba482660,0776e4a5-0f88-430f-bc30-cebf4d23cd33,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-320281,,"400V/5,5kW",2026-06-02T07:51:00Z
e6a17a11-9749-4e0b-aefd-4ce969afae44,0776e4a5-0f88-430f-bc30-cebf4d23cd33,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-99399,,,2026-06-02T07:54:00Z
bbbdf513-f66d-4e6c-9f45-b411aaf01b47,0776e4a5-0f88-430f-bc30-cebf4d23cd33,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T07:56:00Z
136e45fc-91c2-41b1-b9b3-69b8f46d3aaf,0776e4a5-0f88-430f-bc30-cebf4d23cd33,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T07:58:00Z
19f2c1aa-140d-4dcd-b314-a3f06044ec71,0776e4a5-0f88-430f-bc30-cebf4d23cd33,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-361650,,10 bar,2026-06-02T08:00:00Z
73f69d6d-ae72-48cb-93bd-ee20dc583ec4,0776e4a5-0f88-430f-bc30-cebf4d23cd33,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-799330,,,2026-06-02T08:01:00Z
eb2e7570-075e-4860-89c8-2cfb0e61c2e7,0776e4a5-0f88-430f-bc30-cebf4d23cd33,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T08:03:00Z
2f0bcfab-53f5-489f-9423-1c9885c1c518,0776e4a5-0f88-430f-bc30-cebf4d23cd33,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T08:04:00Z
f9b341ec-825e-403a-b908-a06e575c06a0,0776e4a5-0f88-430f-bc30-cebf4d23cd33,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,4c021d7e-b87e-4aa1-95ed-fce5653ded5a,AN-207786,,EU,2026-06-02T08:05:00Z
063faa8f-b1a4-4b56-9235-8036b930d741,92ce31e7-bbd9-4012-9dff-946b293b4342,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-128941,,"400V/5,5kW",2026-06-02T08:09:00Z
1bf9a623-2ed0-4952-a622-3848c1f41118,92ce31e7-bbd9-4012-9dff-946b293b4342,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-25118,,,2026-06-02T08:12:00Z
7cfdd50d-653d-414a-be6d-3b1def582dd2,92ce31e7-bbd9-4012-9dff-946b293b4342,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T08:14:00Z
db66ae5c-4f11-4cf0-84bb-1892a53f55f6,92ce31e7-bbd9-4012-9dff-946b293b4342,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T08:16:00Z
5c64e1e5-e9c8-4e18-908e-8ec68fb9b6c3,92ce31e7-bbd9-4012-9dff-946b293b4342,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-373903,,10 bar,2026-06-02T08:18:00Z
02122bb9-5321-4e1a-a2ba-478e0b0be4f2,92ce31e7-bbd9-4012-9dff-946b293b4342,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-287241,,,2026-06-02T08:19:00Z
83d85cdf-310f-4ab5-b24a-1107153edd69,92ce31e7-bbd9-4012-9dff-946b293b4342,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T08:21:00Z
9ee5b4b4-cbc2-4072-a490-710cb5f181e5,92ce31e7-bbd9-4012-9dff-946b293b4342,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T08:22:00Z
9175b0e2-ee2f-4357-a81a-46d0dc6b5973,92ce31e7-bbd9-4012-9dff-946b293b4342,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,4c021d7e-b87e-4aa1-95ed-fce5653ded5a,AN-708792,,EU,2026-06-02T08:23:00Z
7e991aae-8543-463a-aa13-be62f95cd035,0e23ab3e-46ed-4966-8a73-419eac883030,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-563246,,"400V/5,5kW",2026-06-02T08:27:00Z
944e3b09-6e39-4079-9500-b2c020a45f2f,0e23ab3e-46ed-4966-8a73-419eac883030,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-67954,,,2026-06-02T08:30:00Z
102d927f-1786-4570-85e8-d47ff8d4c5e0,0e23ab3e-46ed-4966-8a73-419eac883030,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T08:32:00Z
2e7408d2-d863-4385-b54d-af7f11e3065f,0e23ab3e-46ed-4966-8a73-419eac883030,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T08:34:00Z
d1c2a988-4c39-4265-a6a9-d533d195f353,0e23ab3e-46ed-4966-8a73-419eac883030,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-808446,,10 bar,2026-06-02T08:36:00Z
1119893d-c99e-4a94-9541-be1fb36463f3,0e23ab3e-46ed-4966-8a73-419eac883030,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-324082,,,2026-06-02T08:37:00Z
6f82998b-8c3e-4ea8-9ce1-1e3737aec966,0e23ab3e-46ed-4966-8a73-419eac883030,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T08:39:00Z
e0c4ce6f-473d-4441-af3a-6a034cb593bc,0e23ab3e-46ed-4966-8a73-419eac883030,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T08:40:00Z
69ebb75e-9917-478b-b5ee-168942d3b80a,0e23ab3e-46ed-4966-8a73-419eac883030,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,a3514a86-f23b-4592-a652-a63a1cfc4c53,AN-636004,,US,2026-06-02T08:41:00Z
d92f6153-9602-45b0-abd1-a61db4809b62,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-724377,,"400V/5,5kW",2026-06-02T08:45:00Z
f6c75ab9-e1f7-4023-aa5c-6c121df49656,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-51588,,,2026-06-02T08:48:00Z
a0688514-2571-4869-b69f-140895c8b906,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T08:50:00Z
7e576b89-4dd5-4838-87bb-b052f496f1ed,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T08:52:00Z
7ef1ff14-a935-4caf-92d5-fdc68c960d13,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-891937,,10 bar,2026-06-02T08:54:00Z
6bada7c6-4f0a-4551-8a1d-98368f9a82ca,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-564071,,,2026-06-02T08:55:00Z
f726b56e-dc9a-4dd8-b4a6-8e99a84de79a,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T08:57:00Z
d5dd2d66-d524-4480-9f8c-de6fb49a55e4,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T08:58:00Z
00ac207e-0c13-4772-bd5c-b65cc77ced45,6252d559-eff5-4c8f-a1f6-3ae35ca8f4c8,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,4c021d7e-b87e-4aa1-95ed-fce5653ded5a,AN-742412,,EU,2026-06-02T08:59:00Z
c70bcfba-b8d7-4360-b58f-552e8a58ba87,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-883826,,"400V/5,5kW",2026-06-02T09:03:00Z
4cb5bdde-6ebc-4ca5-94ce-ad7b0bfc40eb,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-81582,,,2026-06-02T09:06:00Z
76445427-0f38-4a74-b552-a0a084519866,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-900,,2026-06-02T09:08:00Z
d258272b-13e7-4811-a03a-359d08be711d,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,afba19a3-31c7-44fe-8853-5bea81b159cc,a88adc15-405d-492d-84b7-a8046a56de5b,,,,2026-06-02T09:10:00Z
8877ecb6-1c17-4011-8d2a-104e23afcff9,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,eff5fdc4-a844-445c-be8a-c6e769ded30d,d73647ed-2c25-4925-8ccd-ffaadc0326d7,SV-938722,,10 bar,2026-06-02T09:12:00Z
ed301298-0a12-48e2-8b81-a6d5f20e39f8,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,eff5fdc4-a844-445c-be8a-c6e769ded30d,0b5cb0e9-1354-41e1-98c0-b36c43bd83b3,OS-732556,,,2026-06-02T09:13:00Z
f5628951-3b44-4df4-a8f8-922656f2781f,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,6f54c3fa-51ba-41d4-be3c-a2f115df7047,,,,2026-06-02T09:15:00Z
688d556d-0b3d-40b2-95ad-fa1716a732e1,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,d59a91a9-1c1e-47bc-a8e0-4b5397545c3e,,DG-2024-500,,2026-06-02T09:16:00Z
aa77d6d5-4a21-458e-8fc8-6f68a55efa84,66b0be46-126c-4b70-a3b2-a5a6b1d11f7f,701dd629-3a2f-4c5d-854e-fbf5d3fac7a8,4c021d7e-b87e-4aa1-95ed-fce5653ded5a,AN-331251,,EU,2026-06-02T09:17:00Z
b1b16bd6-6e9a-4180-a01e-1f1863bae1fd,9e0a3f07-ab2d-42f0-b66f-1fa537f4e89b,4f453f4d-06f7-4d70-aa35-e196db2cf566,90194194-953b-4f62-b2b7-bfc76b8d628a,MOT-259784,,"400V/5,5kW",2026-06-02T09:21:00Z
068366c1-4bc4-4cd3-80e6-6958035105b7,9e0a3f07-ab2d-42f0-b66f-1fa537f4e89b,cf1112fd-b64d-4421-a37e-f39ab81534a4,7c401197-8c6c-40bf-adf0-f13857f06b9d,SS-41266,,,2026-06-02T09:24:00Z
26e21596-9037-40df-aaca-90b81b12ea4c,9e0a3f07-ab2d-42f0-b66f-1fa537f4e89b,8aecc241-e1a1-4935-98b2-85c0f97ce833,7fdd9b5e-abe9-468a-8a36-d4cf9e3ef98a,,KB-2024-883,,2026-06-02T09:26:00Z
